date,price
2025-07-08 14:15:44.254856,1.4406
2025-07-09 14:15:44.254856,1.6108
2025-07-10 14:15:44.254856,1.6052
2025-07-11 14:15:44.254856,1.4833
2025-07-12 14:15:44.254856,1.6765
2025-07-13 14:15:44.254856,1.6423
2025-07-14 14:15:44.254856,1.5321
2025-07-15 14:15:44.254856,1.563
2025-07-16 14:15:44.254856,1.5103
2025-07-17 14:15:44.254856,1.5808
2025-07-18 14:15:44.254856,1.6291
2025-07-19 14:15:44.254856,1.7151
2025-07-20 14:15:44.254856,1.4641
2025-07-21 14:15:44.254856,1.587
2025-07-22 14:15:44.254856,1.6912
2025-07-23 14:15:44.254856,1.5323
2025-07-24 14:15:44.254856,1.6071
2025-07-25 14:15:44.254856,1.394
2025-07-26 14:15:44.254856,1.6031
2025-07-27 14:15:44.254856,1.6065
2025-07-28 14:15:44.254856,1.6223
2025-07-29 14:15:44.254856,1.6099
2025-07-30 14:15:44.254856,1.5617
2025-07-31 14:15:44.254856,1.5791
2025-08-01 14:15:44.254856,1.5775
2025-08-02 14:15:44.254856,1.5981
2025-08-03 14:15:44.254856,1.6196
2025-08-04 14:15:44.254856,1.6165
2025-08-05 14:15:44.254856,1.5812
2025-08-06 14:15:44.254856,1.5521
2025-08-07 14:15:44.254856,1.5288
2025-08-08 14:15:44.254856,1.8528
2025-08-09 14:15:44.254856,1.6182
2025-08-10 14:15:44.254856,1.6411
2025-08-11 14:15:44.254856,1.6719
2025-08-12 14:15:44.254856,1.6201
2025-08-13 14:15:44.254856,1.5511
2025-08-14 14:15:44.254856,1.6613
2025-08-15 14:15:44.254856,1.6663
2025-08-16 14:15:44.254856,1.6966
2025-08-17 14:15:44.254856,1.7127
2025-08-18 14:15:44.254856,1.5746
2025-08-19 14:15:44.254856,1.7401
2025-08-20 14:15:44.254856,1.6444
2025-08-21 14:15:44.254856,1.6687
2025-08-22 14:15:44.254856,1.678
2025-08-23 14:15:44.254856,1.6829
2025-08-24 14:15:44.254856,1.7043
2025-08-25 14:15:44.254856,1.6541
2025-08-26 14:15:44.254856,1.6518
2025-08-27 14:15:44.254856,1.6126
2025-08-28 14:15:44.254856,1.5867
2025-08-29 14:15:44.254856,1.6076
2025-08-30 14:15:44.254856,1.7044
2025-08-31 14:15:44.254856,1.8226
2025-09-01 14:15:44.254856,1.5764
2025-09-02 14:15:44.254856,1.5683
2025-09-03 14:15:44.254856,1.9489
2025-09-04 14:15:44.254856,1.8121
2025-09-05 14:15:44.254856,1.7855
2025-09-06 14:15:44.254856,1.6599
2025-09-07 14:15:44.254856,1.4831
2025-09-08 14:15:44.254856,1.8482
2025-09-09 14:15:44.254856,1.6895
2025-09-10 14:15:44.254856,1.7494
